<0.13120444570719997, C922H1756N276O465S4, C922H1756N276O465S4
0.3291459004398507, C929H1833N277O448S7, C922H1756N276O465S4
0.1396931738544455, C918H1760N278O466S4, C922H1756N276O465S4
0.15511469131308908, C916H1756N272O473S4, C922H1756N276O465S4
0.15413534486510153, C920H1760N274O466S5, C922H1756N276O465S4
0.14387923458877375, C915H1756N274O470S5, C922H1756N276O465S4
0.17237548835479535, C922H1748N272O467S5, C922H1756N276O465S4
0.14827852081111204, C916H1756N272O471S5, C922H1756N276O465S4
0.3181972425356695, C902H1857N271O470S8, C922H1756N276O465S4
0.17547223579991936, C915H1756N274O468S6, C922H1756N276O465S4
0.20589671480132574, C919H1748N270O469S6, C922H1756N276O465S4
0.13595749820552536, C923H1760N276O464S4, C922H1756N276O465S4
0.1586595708947102, C915H1752N272O472S5, C922H1756N276O465S4
0.18839223977277206, C919H1756N274O465S6, C922H1756N276O465S4
0.16339694564614046, C923H1760N268O469S5, C922H1756N276O465S4
0.16312233604403542, C923H1756N274O464S5, C922H1756N276O465S4
0.15182197582794793, C916H1752N278O468S4, C922H1756N276O465S4
0.1589084229706444, C918H1768N274O467S5, C922H1756N276O465S4
0.19707836837287404, C912H1748N276O473S4, C922H1756N276O465S4
0.28107742304747213, C918H1744N270O466S8, C922H1756N276O465S4
0.22863768320165617, C916H1740N272O470S6, C922H1756N276O465S4
0.17019660329855327, C917H1748N274O471S4, C922H1756N276O465S4
0.13643632525618246, C924H1760N274O465S4, C922H1756N276O465S4
0.1958784181681689, C916H1744N274O472S4, C922H1756N276O465S4
0.20480734545009566, C923H1760N268O467S6, C922H1756N276O465S4
0.14846070855556776, C918H1760N270O471S5, C922H1756N276O465S4
0.1638274758814968, C922H1756N268O470S5, C922H1756N276O465S4
0.16407902193855847, C922H1768N266O471S5, C922H1756N276O465S4
0.18778549885190124, C918H1752N274O466S6, C922H1756N276O465S4
0.1799286512320974, C914H1752N274O469S6, C922H1756N276O465S4
0.20604534478363284, C912H1752N278O465S7, C922H1756N276O465S4
0.18496999294805602, C918H1760N270O469S6, C922H1756N276O465S4
0.15327314456515856, C914H1752N274O471S5, C922H1756N276O465S4
