<0.00244713181794886, C922H1756N276O465S4, C922H1756N276O465S4
0.44078974213877997, C929H1833N277O448S7, C922H1756N276O465S4
0.05886493766036027, C918H1760N278O466S4, C922H1756N276O465S4
0.09559606351296632, C916H1756N272O473S4, C922H1756N276O465S4
0.07115111318126092, C920H1760N274O466S5, C922H1756N276O465S4
0.08522927203408207, C915H1756N274O470S5, C922H1756N276O465S4
0.17335656342796438, C922H1748N272O467S5, C922H1756N276O465S4
0.10192086827650447, C916H1756N272O471S5, C922H1756N276O465S4
0.39854023109370945, C902H1857N271O470S8, C922H1756N276O465S4
0.16803511618609776, C915H1756N274O468S6, C922H1756N276O465S4
0.24957804244821086, C919H1748N270O469S6, C922H1756N276O465S4
0.04290321082933171, C923H1760N276O464S4, C922H1756N276O465S4
0.13015272909589626, C915H1752N272O472S5, C922H1756N276O465S4
0.18117600744044202, C919H1756N274O465S6, C922H1756N276O465S4
0.12053164653265, C923H1760N268O469S5, C922H1756N276O465S4
0.10943528022611879, C923H1756N274O464S5, C922H1756N276O465S4
0.08414101434782191, C916H1752N278O468S4, C922H1756N276O465S4
0.10066097832619111, C918H1768N274O467S5, C922H1756N276O465S4
0.17475346969210753, C912H1748N276O473S4, C922H1756N276O465S4
0.3825223596588418, C918H1744N270O466S8, C922H1756N276O465S4
0.28133019637804346, C916H1740N272O470S6, C922H1756N276O465S4
0.13336640468633226, C917H1748N274O471S4, C922H1756N276O465S4
0.03970955698417568, C924H1760N274O465S4, C922H1756N276O465S4
0.17611450267642387, C916H1744N274O472S4, C922H1756N276O465S4
0.20512864286752402, C923H1760N268O467S6, C922H1756N276O465S4
0.09150130176279699, C918H1760N270O471S5, C922H1756N276O465S4
0.1445241132911028, C922H1756N268O470S5, C922H1756N276O465S4
0.08810499496456033, C922H1768N266O471S5, C922H1756N276O465S4
0.20154826245172833, C918H1752N274O466S6, C922H1756N276O465S4
0.1907363796156773, C914H1752N274O469S6, C922H1756N276O465S4
0.23795099814935808, C912H1752N278O465S7, C922H1756N276O465S4
0.17617301923292242, C918H1760N270O469S6, C922H1756N276O465S4
0.11402099187228093, C914H1752N274O471S5, C922H1756N276O465S4
