<0.21924663054687651, C916H1752N278O468S4, C916H1752N278O468S4
0.48195821019847507, C929H1833N277O448S7; C916H1752N278O468S4
0.312621762198933, C920H1768N270O467S6; C916H1752N278O468S4
0.2726647598227987, C918H1760N278O466S4; C916H1752N278O468S4
0.21741072501859213, C916H1756N272O473S4; C916H1752N278O468S4
0.2551711464697984, C920H1760N274O466S5; C916H1752N278O468S4
0.21527582214577437, C915H1756N274O470S5; C916H1752N278O468S4
0.27029853271296256, C922H1748N272O467S5; C916H1752N278O468S4
0.2244151041109686, C916H1756N272O471S5; C916H1752N278O468S4
0.4412131960484026, C902H1857N271O470S8; C916H1752N278O468S4
0.335878631152531, C918H1752N274O464S7; C916H1752N278O468S4
0.25404222478095284, C915H1756N274O468S6; C916H1752N278O468S4
0.3197101581547944, C919H1748N270O469S6; C916H1752N278O468S4
0.27966835311986177, C923H1760N276O464S4; C916H1752N278O468S4
0.25072362797737135, C915H1752N272O472S5; C916H1752N278O468S4
0.2624362525400472, C919H1756N274O465S6; C916H1752N278O468S4
0.32633896013882513, C929H1748N274O458S6; C916H1752N278O468S4
0.2370039914941732, C923H1760N268O469S5; C916H1752N278O468S4
0.24810221898056928, C923H1756N274O464S5; C916H1752N278O468S4
0.29686152112338804, C918H1768N274O467S5; C916H1752N278O468S4
0.24930833730382146, C922H1756N276O465S4; C916H1752N278O468S4
0.2680722075944502, C912H1748N276O473S4; C916H1752N278O468S4
0.42737097484679715, C918H1744N270O466S8; C916H1752N278O468S4
0.34931782508863424, C916H1740N272O470S6; C916H1752N278O468S4
0.25333150108166214, C917H1748N274O471S4; C916H1752N278O468S4
0.2718001228849708, C924H1760N274O465S4; C916H1752N278O468S4
0.28503389344676044, C916H1744N274O472S4; C916H1752N278O468S4
0.28039046075680274, C923H1760N268O467S6; C916H1752N278O468S4
0.21853462788466207, C918H1760N270O471S5; C916H1752N278O468S4
0.24481644578121461, C922H1756N268O470S5; C916H1752N278O468S4
0.2715199962874732, C922H1768N266O471S5; C916H1752N278O468S4
0.2798048833056995, C918H1752N274O466S6; C916H1752N278O468S4
0.27470782278463274, C914H1752N274O469S6; C916H1752N278O468S4
0.30362478424114014, C912H1752N278O465S7; C916H1752N278O468S4
0.25770085699073714, C918H1760N270O469S6; C916H1752N278O468S4
0.2413740151660238, C914H1752N274O471S5; C916H1752N278O468S4
